Task 3 - All Countries
script.js:15 Name : Mauritania, Region : Africa, SubRegion : Western Africa, Population : 4649660
script.js:15 Name : Aruba, Region : Americas, SubRegion : Caribbean, Population : 106766
script.js:15 Name : Argentina, Region : Americas, SubRegion : South America, Population : 45376763
script.js:15 Name : Sweden, Region : Europe, SubRegion : Northern Europe, Population : 10353442
script.js:15 Name : Maldives, Region : Asia, SubRegion : Southern Asia, Population : 540542
script.js:15 Name : Mexico, Region : Americas, SubRegion : North America, Population : 128932753
script.js:15 Name : New Zealand, Region : Oceania, SubRegion : Australia and New Zealand, Population : 5084300
script.js:15 Name : Ecuador, Region : Americas, SubRegion : South America, Population : 17643060
script.js:15 Name : Wallis and Futuna, Region : Oceania, SubRegion : Polynesia, Population : 11750
script.js:15 Name : Åland Islands, Region : Europe, SubRegion : Northern Europe, Population : 29458
script.js:15 Name : Montenegro, Region : Europe, SubRegion : Southeast Europe, Population : 621718
script.js:15 Name : Pakistan, Region : Asia, SubRegion : Southern Asia, Population : 220892331
script.js:15 Name : Pitcairn Islands, Region : Oceania, SubRegion : Polynesia, Population : 56
script.js:15 Name : Zambia, Region : Africa, SubRegion : Eastern Africa, Population : 18383956
script.js:15 Name : Seychelles, Region : Africa, SubRegion : Eastern Africa, Population : 98462
script.js:15 Name : Malaysia, Region : Asia, SubRegion : South-Eastern Asia, Population : 32365998
script.js:15 Name : Norway, Region : Europe, SubRegion : Northern Europe, Population : 5379475
script.js:15 Name : Uzbekistan, Region : Asia, SubRegion : Central Asia, Population : 34232050
script.js:15 Name : Vanuatu, Region : Oceania, SubRegion : Melanesia, Population : 307150
script.js:15 Name : French Southern and Antarctic Lands, Region : Antarctic, SubRegion : undefined, Population : 400
script.js:15 Name : Christmas Island, Region : Oceania, SubRegion : Australia and New Zealand, Population : 2072
script.js:15 Name : Singapore, Region : Asia, SubRegion : South-Eastern Asia, Population : 5685807
script.js:15 Name : Suriname, Region : Americas, SubRegion : South America, Population : 586634
script.js:15 Name : Western Sahara, Region : Africa, SubRegion : Northern Africa, Population : 510713
script.js:15 Name : Saint Martin, Region : Americas, SubRegion : Caribbean, Population : 38659
script.js:15 Name : Costa Rica, Region : Americas, SubRegion : Central America, Population : 5094114
script.js:15 Name : Heard Island and McDonald Islands, Region : Antarctic, SubRegion : undefined, Population : 0
script.js:15 Name : Ireland, Region : Europe, SubRegion : Northern Europe, Population : 4994724
script.js:15 Name : Antarctica, Region : Antarctic, SubRegion : undefined, Population : 1000
script.js:15 Name : Australia, Region : Oceania, SubRegion : Australia and New Zealand, Population : 25687041
script.js:15 Name : Libya, Region : Africa, SubRegion : Northern Africa, Population : 6871287
